Player,Team,Position,Number,Age
Jared Goff,Detroit Lions,QB,16,31
Amon-Ra St. Brown,Detroit Lions,WR,14,26
Jahmyr Gibbs,Detroit Lions,RB,0,24
Jack Campbell,Detroit Lions,LB,46,25
Jordan Love,Green Bay Packers,QB,10,27
Caleb Williams,Chicago Bears,QB,18,24
Rome Odunze,Chicago Bears,WR,15,24
D'Andre Swift,Chicago Bears,RB,4,27
Aidan Hutchinson,Detroit Lions,DE,97,25
Sam LaPorta,Detroit Lions,TE,87,25
Xavier McKinney,Green Bay Packers,S,29,27
Josh Jacobs,Green Bay Packers,RB,8,28
Justin Jefferson,Minnesota Vikings,WR,18,26
JJ McCarthy,Minnesota Vikings,QB,9,23
Jordan Addison,Minnesota Vikings,WR,3,24
